label,n_tasks,ts_csv
P1,30,Q_Recon_ricci/P1_timeseries.csv
P2,30,Q_Recon_ricci/P2_timeseries.csv
P3,30,Q_Recon_ricci/P3_timeseries.csv
P4,30,Q_Recon_ricci/P4_timeseries.csv
P5,30,Q_Recon_ricci/P5_timeseries.csv
P6,30,Q_Recon_ricci/P6_timeseries.csv
P7,30,Q_Recon_ricci/P7_timeseries.csv
P8,30,Q_Recon_ricci/P8_timeseries.csv
P9,30,Q_Recon_ricci/P9_timeseries.csv
P10,30,Q_Recon_ricci/P10_timeseries.csv
P11,30,Q_Recon_ricci/P11_timeseries.csv
P12,30,Q_Recon_ricci/P12_timeseries.csv
P13,30,Q_Recon_ricci/P13_timeseries.csv
P14,30,Q_Recon_ricci/P14_timeseries.csv
P15,30,Q_Recon_ricci/P15_timeseries.csv
P16,30,Q_Recon_ricci/P16_timeseries.csv
P17,30,Q_Recon_ricci/P17_timeseries.csv
P18,30,Q_Recon_ricci/P18_timeseries.csv
P19,30,Q_Recon_ricci/P19_timeseries.csv
P20,30,Q_Recon_ricci/P20_timeseries.csv
P21,30,Q_Recon_ricci/P21_timeseries.csv
P22,30,Q_Recon_ricci/P22_timeseries.csv
P23,29,Q_Recon_ricci/P23_timeseries.csv
P24,30,Q_Recon_ricci/P24_timeseries.csv
P25,30,Q_Recon_ricci/P25_timeseries.csv
P26,30,Q_Recon_ricci/P26_timeseries.csv
