label,Wstar,best_lag,rho,max_absrho,ts_csv,plot_png
P1,10,-3,0.9493284493284493,0.9493284493284493,Q_Recon/P1_timeseries.csv,Q_Recon/P1_plot.png
P2,11,0,0.8184649610678532,0.8184649610678532,Q_Recon/P2_timeseries.csv,Q_Recon/P2_plot.png
P3,4,-6,-0.6721739130434782,0.6721739130434782,Q_Recon/P3_timeseries.csv,Q_Recon/P3_plot.png
P4,10,6,0.8008695652173912,0.8008695652173912,Q_Recon/P4_timeseries.csv,Q_Recon/P4_plot.png
P5,12,-5,0.8076923076923078,0.8076923076923078,Q_Recon/P5_timeseries.csv,Q_Recon/P5_plot.png
P6,8,6,0.7208695652173912,0.7208695652173912,Q_Recon/P6_timeseries.csv,Q_Recon/P6_plot.png
P7,5,-5,-0.7569230769230769,0.7569230769230769,Q_Recon/P7_timeseries.csv,Q_Recon/P7_plot.png
P8,9,5,-0.8392307692307692,0.8392307692307692,Q_Recon/P8_timeseries.csv,Q_Recon/P8_plot.png
P9,12,-1,0.9157635467980293,0.9157635467980293,Q_Recon/P9_timeseries.csv,Q_Recon/P9_plot.png
P10,12,6,-0.8217391304347826,0.8217391304347826,Q_Recon/P10_timeseries.csv,Q_Recon/P10_plot.png
P11,8,-5,0.8853846153846154,0.8853846153846154,Q_Recon/P11_timeseries.csv,Q_Recon/P11_plot.png
P12,8,1,0.8354679802955662,0.8354679802955662,Q_Recon/P12_timeseries.csv,Q_Recon/P12_plot.png
P13,12,-6,-0.5895652173913043,0.5895652173913043,Q_Recon/P13_timeseries.csv,Q_Recon/P13_plot.png
P14,12,-1,0.8004926108374383,0.8004926108374383,Q_Recon/P14_timeseries.csv,Q_Recon/P14_plot.png
P15,7,4,-0.682051282051282,0.682051282051282,Q_Recon/P15_timeseries.csv,Q_Recon/P15_plot.png
P16,11,-1,-0.8453201970443348,0.8453201970443348,Q_Recon/P16_timeseries.csv,Q_Recon/P16_plot.png
P17,11,6,-0.6321739130434781,0.6321739130434781,Q_Recon/P17_timeseries.csv,Q_Recon/P17_plot.png
P18,10,-5,-0.883076923076923,0.883076923076923,Q_Recon/P18_timeseries.csv,Q_Recon/P18_plot.png
P19,12,6,-0.8008695652173912,0.8008695652173912,Q_Recon/P19_timeseries.csv,Q_Recon/P19_plot.png
P20,10,-4,-0.7921367521367522,0.7921367521367522,Q_Recon/P20_timeseries.csv,Q_Recon/P20_plot.png
P21,5,6,0.6947826086956521,0.6947826086956521,Q_Recon/P21_timeseries.csv,Q_Recon/P21_plot.png
P22,5,5,0.7161538461538461,0.7161538461538461,Q_Recon/P22_timeseries.csv,Q_Recon/P22_plot.png
P23,12,0,0.8113300492610835,0.8113300492610835,Q_Recon/P23_timeseries.csv,Q_Recon/P23_plot.png
P24,5,5,0.7230769230769231,0.7230769230769231,Q_Recon/P24_timeseries.csv,Q_Recon/P24_plot.png
P25,5,6,-0.6278260869565216,0.6278260869565216,Q_Recon/P25_timeseries.csv,Q_Recon/P25_plot.png
P26,12,0,0.7125695216907675,0.7125695216907675,Q_Recon/P26_timeseries.csv,Q_Recon/P26_plot.png
